path,lang,bytes,lines,score,smells
".eslintrc.cjs",other,1063,42,0,""
".pre-commit-config.yaml",yaml,933,38,0,""
"CULTURE_SHIP_READY.md",md,3758,114,29,"empty-file|print-banner|placeholder-text"
"DEPLOYMENT.md",md,7975,272,23,"empty-file|print-banner"
"README.md",md,8889,224,29,"empty-file|print-banner|placeholder-text"
"acia_findings.ndjson",other,93642,97,14,"todo-fixme|placeholder-text"
"chatdev.yml",yaml,769,25,0,""
"components.json",json,459,20,0,""
"context.md",md,4842,87,20,"empty-file"
"drizzle.config.ts",ts,325,15,20,"empty-file"
"index.js",js,3567,118,35,"fake-print|empty-file"
"package-lock.json",json,525259,14654,26,"empty-file|placeholder-text"
"package.json",json,4838,152,26,"empty-file|placeholder-text"
"postcss.config.js",js,80,7,20,"empty-file"
"pyproject.toml",toml,341,17,20,"empty-file"
"replit.md",md,6256,87,26,"empty-file|placeholder-text"
"replit.toml",toml,3681,121,20,"empty-file"
"start-dev.js",js,758,33,20,"empty-file"
"static-server.js",js,617,20,35,"fake-print|empty-file"
"tailwind.config.ts",ts,5740,176,26,"empty-file|placeholder-text"
"test-dual-layer.js",js,8202,249,35,"fake-print|empty-file"
"test_pu_sample.json",json,961,13,0,""
"tsconfig.json",json,693,25,20,"empty-file"
"vite.config.ts",ts,971,38,20,"empty-file"
"zeta_123_audit_tasks.ndjson",other,12202,31,0,""
"zi_001_123.ndjson",other,18081,124,6,"placeholder-text"
"zi_batch.json",json,22549,871,26,"empty-file|placeholder-text"
